bahasa_jawa,bahasa_indonesia,ipa,ips,bahasa_jawa_binned,bahasa_indonesia_binned,ipa_binned,ips_binned
69,80,78,67,Sedang,Sangat Tinggi,Tinggi,Sedang
61,72,86,79,Sedang,Tinggi,Sangat Tinggi,Tinggi
63,71,86,65,Sedang,Tinggi,Sangat Tinggi,Sedang
76,57,78,78,Tinggi,Sedang,Tinggi,Tinggi
87,84,90,82,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
79,86,84,80,Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
71,74,70,62,Tinggi,Tinggi,Tinggi,Rendah
79,77,84,80,Tinggi,Tinggi,Sangat Tinggi,Tinggi
60,61,74,60,Sedang,Tinggi,Tinggi,Rendah
73,86,84,80,Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
81,75,78,83,Tinggi,Tinggi,Tinggi,Tinggi
76,66,66,52,Tinggi,Tinggi,Tinggi,Rendah
66,72,72,70,Sedang,Tinggi,Tinggi,Sedang
81,82,82,70,Tinggi,Sangat Tinggi,Tinggi,Sedang
80,82,96,83,Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
77,72,86,70,Tinggi,Tinggi,Sangat Tinggi,Sedang
76,71,90,76,Tinggi,Tinggi,Sangat Tinggi,Tinggi
72,69,78,66,Tinggi,Tinggi,Tinggi,Sedang
68,74,78,80,Sedang,Tinggi,Tinggi,Tinggi
62,64,82,73,Sedang,Tinggi,Tinggi,Tinggi
72,62,74,66,Tinggi,Tinggi,Tinggi,Sedang
78,83,90,86,Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
60,65,78,57,Sedang,Tinggi,Tinggi,Rendah
78,74,84,76,Tinggi,Tinggi,Sangat Tinggi,Tinggi
64,71,82,61,Sedang,Tinggi,Tinggi,Rendah
80,84,88,84,Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
73,81,86,79,Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
70,68,82,73,Sedang,Tinggi,Tinggi,Tinggi
68,70,80,73,Sedang,Tinggi,Tinggi,Tinggi
76,86,86,76,Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
73,83,80,73,Tinggi,Sangat Tinggi,Tinggi,Tinggi
74,78,80,83,Tinggi,Tinggi,Tinggi,Tinggi
56,50,78,41,Sedang,Sedang,Tinggi,Sangat Rendah
69,73,74,71,Sedang,Tinggi,Tinggi,Sedang
84,76,86,77,Tinggi,Tinggi,Sangat Tinggi,Tinggi
76,88,100,86,Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
77,82,80,74,Tinggi,Sangat Tinggi,Tinggi,Tinggi
67,71,82,67,Sedang,Tinggi,Tinggi,Sedang
86,86,92,89,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
60,66,64,63,Sedang,Tinggi,Sedang,Sedang
79,85,92,80,Tinggi,Sangat Tinggi,Sangat Tinggi,Tinggi
89,90,88,87,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
94,84,80,80,Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
89,96,88,93,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi,Sangat Tinggi
94,84,63,85,Sangat Tinggi,Sangat Tinggi,Sedang,Sangat Tinggi
89,66,40,62,Sangat Tinggi,Tinggi,Rendah,Rendah
97,86,68,79,Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
91,84,70,83,Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
88,82,60,78,Sangat Tinggi,Sangat Tinggi,Sedang,Tinggi
89,72,78,85,Sangat Tinggi,Tinggi,Tinggi,Sangat Tinggi
92,82,65,92,Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
85,82,55,62,Tinggi,Sangat Tinggi,Sedang,Rendah
92,84,78,82,Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
85,74,60,77,Tinggi,Tinggi,Sedang,Tinggi
85,72,65,73,Tinggi,Tinggi,Tinggi,Tinggi
92,84,75,92,Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
88,86,75,94,Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
95,86,78,91,Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
94,82,78,85,Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
92,76,65,78,Sangat Tinggi,Tinggi,Tinggi,Tinggi
98,80,63,78,Sangat Tinggi,Sangat Tinggi,Sedang,Tinggi
97,84,65,83,Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
94,86,73,90,Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
92,92,68,88,Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
86,82,70,82,Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
86,78,55,85,Sangat Tinggi,Tinggi,Sedang,Sangat Tinggi
100,86,73,88,Sangat Tinggi,Sangat Tinggi,Tinggi,Sangat Tinggi
94,84,68,78,Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
95,84,65,82,Sangat Tinggi,Sangat Tinggi,Tinggi,Tinggi
